word,example_no,example_en,example_cn,matched_form,tatoeba_en_sentence_id,tatoeba_cn_sentence_id,tatoeba_en_author,tatoeba_cn_author,author_status,source,license,score,tatoeba_en_url,tatoeba_cn_url,notes
AC,1,Please turn up the AC a little bit.,请你把冷气调高点。,ac,4753832,333014,garborg,fucongcong,username_filled_from_sentences_detailed,Tatoeba sentence pair export,CC BY 2.0 FR by default; some sentences may also be CC0 1.0. Verify per sentence before production.,122.0,https://tatoeba.org/en/sentences/show/4753832,https://tatoeba.org/en/sentences/show/333014,Text sentence only; no Tatoeba audio used. Username author fields require Tatoeba Detailed Sentences export to fill exactly.
ACH,1,"Ach, I was almost late to class!",哎呀，差点上课迟到！,ach,10333299,10024477,DaoSeng,GlossaMatik,username_filled_from_sentences_detailed,Tatoeba sentence pair export,CC BY 2.0 FR by default; some sentences may also be CC0 1.0. Verify per sentence before production.,114.0,https://tatoeba.org/en/sentences/show/10333299,https://tatoeba.org/en/sentences/show/10024477,Text sentence only; no Tatoeba audio used. Username author fields require Tatoeba Detailed Sentences export to fill exactly.
ADE,1,The façade of this building is bizarre. What the architect was thinking I don't know.,这座大楼的外观很奇怪，不知道设计师是怎么想的。,ade,10540339,6014658,sundown,xjjAstrus,username_filled_from_sentences_detailed,Tatoeba sentence pair export,CC BY 2.0 FR by default; some sentences may also be CC0 1.0. Verify per sentence before production.,112.0,https://tatoeba.org/en/sentences/show/10540339,https://tatoeba.org/en/sentences/show/6014658,Text sentence only; no Tatoeba audio used. Username author fields require Tatoeba Detailed Sentences export to fill exactly.
AI,1,Ai finds it difficult to make friends with Ken.,艾发现和开恩交朋友很难。,ai,28715,784967,Mar1L,ednorog,username_filled_from_sentences_detailed,Tatoeba sentence pair export,CC BY 2.0 FR by default; some sentences may also be CC0 1.0. Verify per sentence before production.,112.0,https://tatoeba.org/en/sentences/show/28715,https://tatoeba.org/en/sentences/show/784967,Text sentence only; no Tatoeba audio used. Username author fields require Tatoeba Detailed Sentences export to fill exactly.
AI,2,AI stands for artificial intelligence.,AI 代表人工智能。,ai,72264,916623,CK,Martha,username_filled_from_sentences_detailed,Tatoeba sentence pair export,CC BY 2.0 FR by default; some sentences may also be CC0 1.0. Verify per sentence before production.,112.0,https://tatoeba.org/en/sentences/show/72264,https://tatoeba.org/en/sentences/show/916623,Text sentence only; no Tatoeba audio used. Username author fields require Tatoeba Detailed Sentences export to fill exactly.
AIDS,1,I hope that some scientist will soon discover a cure for AIDS.,真希望科学家们能早点找到艾滋病的治疗方法。,aids,276300,1865100,CM,fercheung,username_filled_from_sentences_detailed,Tatoeba sentence pair export,CC BY 2.0 FR by default; some sentences may also be CC0 1.0. Verify per sentence before production.,122.0,https://tatoeba.org/en/sentences/show/276300,https://tatoeba.org/en/sentences/show/1865100,Text sentence only; no Tatoeba audio used. Username author fields require Tatoeba Detailed Sentences export to fill exactly.
AIDS,2,Scientists are working hard to put an end to AIDS.,科学家们正努力终结艾滋病。,aids,23985,9965664,CK,GlossaMatik,username_filled_from_sentences_detailed,Tatoeba sentence pair export,CC BY 2.0 FR by default; some sentences may also be CC0 1.0. Verify per sentence before production.,122.0,https://tatoeba.org/en/sentences/show/23985,https://tatoeba.org/en/sentences/show/9965664,Text sentence only; no Tatoeba audio used. Username author fields require Tatoeba Detailed Sentences export to fill exactly.
AIMS,1,Mayuko always aims for perfection.,麻由子总是追求完美。,aims,32403,2045073,CP,ydcok,username_filled_from_sentences_detailed,Tatoeba sentence pair export,CC BY 2.0 FR by default; some sentences may also be CC0 1.0. Verify per sentence before production.,112.0,https://tatoeba.org/en/sentences/show/32403,https://tatoeba.org/en/sentences/show/2045073,Text sentence only; no Tatoeba audio used. Username author fields require Tatoeba Detailed Sentences export to fill exactly.
ALI,1,It seems that Ali is very interested in Myrmecology.,阿里似乎对蚁类研究很感兴趣。,ali,564629,791547,Scott,fucongcong,username_filled_from_sentences_detailed,Tatoeba sentence pair export,CC BY 2.0 FR by default; some sentences may also be CC0 1.0. Verify per sentence before production.,122.0,https://tatoeba.org/en/sentences/show/564629,https://tatoeba.org/en/sentences/show/791547,Text sentence only; no Tatoeba audio used. Username author fields require Tatoeba Detailed Sentences export to fill exactly.
ALI,2,Ali is a good person.,阿里是个好人。,ali,574618,574398,Zac2333,Zac2333,username_filled_from_sentences_detailed,Tatoeba sentence pair export,CC BY 2.0 FR by default; some sentences may also be CC0 1.0. Verify per sentence before production.,112.0,https://tatoeba.org/en/sentences/show/574618,https://tatoeba.org/en/sentences/show/574398,Text sentence only; no Tatoeba audio used. Username author fields require Tatoeba Detailed Sentences export to fill exactly.
