official_book_code,official_book_name,official_unit_code,official_unit_name,official_sort_order,word,phonetic,definition,translation,pos,collins,oxford,tag,bnc,frq,exchange,detail,audio,example_en_1,example_cn_1,example_en_2,example_cn_2,example_1_source,example_1_license,example_1_matched_form,example_1_tatoeba_en_sentence_id,example_1_tatoeba_cn_sentence_id,example_1_tatoeba_en_url,example_1_tatoeba_cn_url,example_1_tatoeba_en_author,example_1_tatoeba_cn_author,example_1_author_status,example_1_attribution_notes,example_2_source,example_2_license,example_2_matched_form,example_2_tatoeba_en_sentence_id,example_2_tatoeba_cn_sentence_id,example_2_tatoeba_en_url,example_2_tatoeba_cn_url,example_2_tatoeba_en_author,example_2_tatoeba_cn_author,example_2_author_status,example_2_attribution_notes
gre,GRE 词库,all,全部,1,abandon,ә'bændәn,"n. the trait of lacking restraint or control; reckless freedom from inhibition or worry\nv. forsake, leave behind\nv. give up with the intent of never claiming again\nv. stop maintaining or insisting on; of ideas or claims","vt. 放弃, 抛弃, 遗弃, 使屈从, 沉溺, 放纵\nn. 放任, 无拘束, 狂热",,3,1,gk cet4 cet6 ky toefl gre,2057,2182,d:abandoned/p:abandoned/i:abandoning/3:abandons,,,We have to abandon the plan.,我们必须放弃这个计划。,I will not abandon you.,我不会丢下你。,Tatoeba sentence pair export,CC BY 2.0 FR by default; some sentences may also be CC0 1.0. Verify per sentence before production.,abandon,610834,339438,https://tatoeba.org/en/sentences/show/610834,https://tatoeba.org/en/sentences/show/339438,Tatoeba contributor (username pending),Tatoeba contributor (username pending),username_pending_sentences_detailed,Text sentence only; no Tatoeba audio used. Exact username requires Tatoeba Detailed Sentences export.,Tatoeba sentence pair export,CC BY 2.0 FR by default; some sentences may also be CC0 1.0. Verify per sentence before production.,abandon,5573296,5550018,https://tatoeba.org/en/sentences/show/5573296,https://tatoeba.org/en/sentences/show/5550018,Tatoeba contributor (username pending),Tatoeba contributor (username pending),username_pending_sentences_detailed,Text sentence only; no Tatoeba audio used. Exact username requires Tatoeba Detailed Sentences export.
gre,GRE 词库,all,全部,2,abase,ә'beis,v cause to feel shame; hurt the pride of,"vt. 降低...的地位, 降低...的品格, 贬抑, 使谦卑",,,,gre,41733,41704,i:abasing/p:abased/3:abases/d:abased,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gre,GRE 词库,all,全部,3,abash,ә'bæʃ,v cause to be embarrassed; cause to feel self-conscious,"vt. 使不安, 使羞愧, 使困窘",,,,gre,48446,41079,d:abashed/i:abashing/p:abashed/3:abashes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gre,GRE 词库,all,全部,4,abate,ә'beit,v. become less in amount or intensity,"vt. 减少, 减轻, 减弱, 废除, 打折扣\nvi. 减轻, 减弱, 减少, 失效, 被废除",,1,,toefl gre,13783,13243,d:abated/i:abating/p:abated/3:abates,,,The storm didn't abate for several hours.,风暴几个小时没有减弱了。,,,Tatoeba sentence pair export,CC BY 2.0 FR by default; some sentences may also be CC0 1.0. Verify per sentence before production.,abate,325306,2080582,https://tatoeba.org/en/sentences/show/325306,https://tatoeba.org/en/sentences/show/2080582,Tatoeba contributor (username pending),Tatoeba contributor (username pending),username_pending_sentences_detailed,Text sentence only; no Tatoeba audio used. Exact username requires Tatoeba Detailed Sentences export.,,,,,,,,,,,
gre,GRE 词库,all,全部,5,abbreviate,ә'bri:vieit,v. shorten,"vt. 缩写, 使...简略, 缩短\nvi. 使用缩写词",,,,toefl gre,20690,22759,d:abbreviated/i:abbreviating/p:abbreviated/3:abbreviates,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gre,GRE 词库,all,全部,6,abdicate,'æbdikeit,"v. give up, such as power, as of monarchs and emperors, or duties and obligations","vt. 正式放弃\nvi. 退位, 退出, 辞职",,,,toefl gre,18884,19114,p:abdicated/d:abdicated/i:abdicating/3:abdicates/s:abdicates,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gre,GRE 词库,all,全部,7,abduct,æb'dʌkt,v. pull away from the body,"vt. 诱拐, 绑架, 使外展\n[医] 外展, 展",,1,,toefl gre,15203,11439,d:abducted/p:abducted/i:abducting/3:abducts,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gre,GRE 词库,all,全部,8,aberrant,æ'berәnt,n. one whose behavior departs substantially from the norm of a group\ns. markedly different from an accepted norm,"a. 偏离正路的, 偏离常轨的, 畸变的\n[化] 异常的",,,,gre,22869,21296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gre,GRE 词库,all,全部,9,aberration,æbә'reiʃәn,n. a disorder in one's mental state\nn. an optical phenomenon resulting from the failure of a lens or mirror to produce a good image,"n. 离开正路, 偏离, 畸变, 光行差, 心理失常, 色差\n[化] 光行差; 像差",,1,,gre,14308,12462,s:aberrations,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gre,GRE 词库,all,全部,10,abet,ә'bet,"v. assist or encourage, usually in some wrongdoing","vt. 教唆, 煽动, 怂恿, 帮助, 支持",,,,gre,14447,15345,p:abetted/i:abetting/d:abetted/3:abets,,,,,,,,,,,,,,,,,,,,,,,,,,,,
