official_book_code,official_book_name,official_unit_code,official_unit_name,official_sort_order,word,phonetic,definition,translation,pos,collins,oxford,tag,bnc,frq,exchange,detail,audio,example_en_1,example_cn_1,example_en_2,example_cn_2,example_1_source,example_1_license,example_1_matched_form,example_1_tatoeba_en_sentence_id,example_1_tatoeba_cn_sentence_id,example_1_tatoeba_en_url,example_1_tatoeba_cn_url,example_1_tatoeba_en_author,example_1_tatoeba_cn_author,example_1_author_status,example_1_attribution_notes,example_2_source,example_2_license,example_2_matched_form,example_2_tatoeba_en_sentence_id,example_2_tatoeba_cn_sentence_id,example_2_tatoeba_en_url,example_2_tatoeba_cn_url,example_2_tatoeba_en_author,example_2_tatoeba_cn_author,example_2_author_status,example_2_attribution_notes
gk,高考英语词库,all,全部,1,a,ei,n. the 1st letter of the Roman alphabet\nn. the blood group whose red cells carry the A antigen,"第一个字母 A; 一个; 第一的\r\nart. [计] 累加器, 加法器, 地址, 振幅, 模拟, 区域, 面积, 汇编, 组件, 异步",,5,1,zk gk,5,5,,"""""",,,,,,,,,,,,,,,,,,,,,,,,,,,
gk,高考英语词库,all,全部,2,abandon,ә'bændәn,"n. the trait of lacking restraint or control; reckless freedom from inhibition or worry\nv. forsake, leave behind\nv. give up with the intent of never claiming again\nv. stop maintaining or insisting on; of ideas or claims","vt. 放弃, 抛弃, 遗弃, 使屈从, 沉溺, 放纵\nn. 放任, 无拘束, 狂热",,3,1,gk cet4 cet6 ky toefl gre,2057,2182,d:abandoned/p:abandoned/i:abandoning/3:abandons,,,We have to abandon the plan.,我们必须放弃这个计划。,I will not abandon you.,我不会丢下你。,Tatoeba sentence pair export,CC BY 2.0 FR by default; some sentences may also be CC0 1.0. Verify per sentence before production.,abandon,610834,339438,https://tatoeba.org/en/sentences/show/610834,https://tatoeba.org/en/sentences/show/339438,Tatoeba contributor (username pending),Tatoeba contributor (username pending),username_pending_sentences_detailed,Text sentence only; no Tatoeba audio used. Exact username requires Tatoeba Detailed Sentences export.,Tatoeba sentence pair export,CC BY 2.0 FR by default; some sentences may also be CC0 1.0. Verify per sentence before production.,abandon,5573296,5550018,https://tatoeba.org/en/sentences/show/5573296,https://tatoeba.org/en/sentences/show/5550018,Tatoeba contributor (username pending),Tatoeba contributor (username pending),username_pending_sentences_detailed,Text sentence only; no Tatoeba audio used. Exact username requires Tatoeba Detailed Sentences export.
gk,高考英语词库,all,全部,3,ability,ә'biliti,n. the quality of being able to perform; a quality that permits or facilitates achievement or accomplishment\nn. possession of the qualities (especially mental qualities) required to do something or get something done,"n. 能力, 才干\n[经] 能力, 才能",,4,1,zk gk cet4 ky toefl ielts,946,783,s:abilities,,,She has great ability in teaching English.,她很擅长英语教学。,"From each according to their ability, to each according to their needs.",各尽所能、各取所需。,Tatoeba sentence pair export,CC BY 2.0 FR by default; some sentences may also be CC0 1.0. Verify per sentence before production.,ability,312691,1855104,https://tatoeba.org/en/sentences/show/312691,https://tatoeba.org/en/sentences/show/1855104,Tatoeba contributor (username pending),Tatoeba contributor (username pending),username_pending_sentences_detailed,Text sentence only; no Tatoeba audio used. Exact username requires Tatoeba Detailed Sentences export.,Tatoeba sentence pair export,CC BY 2.0 FR by default; some sentences may also be CC0 1.0. Verify per sentence before production.,ability,8289058,8607153,https://tatoeba.org/en/sentences/show/8289058,https://tatoeba.org/en/sentences/show/8607153,Tatoeba contributor (username pending),Tatoeba contributor (username pending),username_pending_sentences_detailed,Text sentence only; no Tatoeba audio used. Exact username requires Tatoeba Detailed Sentences export.
gk,高考英语词库,all,全部,4,able,'eibl,a. (usually followed by `to') having the necessary means or skill or know-how or authority to do something\ns. have the skills and qualifications to do things well\ns. having inherent physical or mental ability or capacity\ns. having a strong healthy body,"a. 能干的, 能够的",,5,1,zk gk,295,385,,,,You used to be able to see the church from here.,你以前可以从这里看到教堂。,It is an advantage to be able to use a computer.,懂得用电脑是一种优势。,Tatoeba sentence pair export,CC BY 2.0 FR by default; some sentences may also be CC0 1.0. Verify per sentence before production.,able,63677,781684,https://tatoeba.org/en/sentences/show/63677,https://tatoeba.org/en/sentences/show/781684,Tatoeba contributor (username pending),Tatoeba contributor (username pending),username_pending_sentences_detailed,Text sentence only; no Tatoeba audio used. Exact username requires Tatoeba Detailed Sentences export.,Tatoeba sentence pair export,CC BY 2.0 FR by default; some sentences may also be CC0 1.0. Verify per sentence before production.,able,54585,1452251,https://tatoeba.org/en/sentences/show/54585,https://tatoeba.org/en/sentences/show/1452251,Tatoeba contributor (username pending),Tatoeba contributor (username pending),username_pending_sentences_detailed,Text sentence only; no Tatoeba audio used. Exact username requires Tatoeba Detailed Sentences export.
gk,高考英语词库,all,全部,5,abnormal,æb'nɒ:mәl,a. not normal; not typical or usual or regular or conforming to a norm\na. departing from the normal in e.g. intelligence and development\ns. much greater than the normal,"a. 反常的, 不规则的, 变态的, 畸形的\nn. 畸形的人",,1,,gk cet4 cet6 ky toefl ielts,6548,8241,s:abnormals,,,Environmental pollution is causing abnormal weather conditions.,环境污染正造成异常的天气情况。,His view on marriage is abnormal.,他的婚姻观很畸形。,Tatoeba sentence pair export,CC BY 2.0 FR by default; some sentences may also be CC0 1.0. Verify per sentence before production.,abnormal,21016,797018,https://tatoeba.org/en/sentences/show/21016,https://tatoeba.org/en/sentences/show/797018,Tatoeba contributor (username pending),Tatoeba contributor (username pending),username_pending_sentences_detailed,Text sentence only; no Tatoeba audio used. Exact username requires Tatoeba Detailed Sentences export.,Tatoeba sentence pair export,CC BY 2.0 FR by default; some sentences may also be CC0 1.0. Verify per sentence before production.,abnormal,7785145,6452361,https://tatoeba.org/en/sentences/show/7785145,https://tatoeba.org/en/sentences/show/6452361,Tatoeba contributor (username pending),Tatoeba contributor (username pending),username_pending_sentences_detailed,Text sentence only; no Tatoeba audio used. Exact username requires Tatoeba Detailed Sentences export.
gk,高考英语词库,all,全部,6,aboard,ә'bɒ:d,"r. on a ship, train, plane or other vehicle\nr. on first or second or third base\nr. side by side\nr. part of a group","adv. 在船上, 在火车上, 在飞机上\nprep. 在...之上",,2,,gk cet4 ky toefl,7625,4984,,,,The passengers all went aboard the ship.,乘客全都登上了船。,It is very dangerous to jump aboard the train when it is moving.,跳上一列正在开的火车是很危险的。,Tatoeba sentence pair export,CC BY 2.0 FR by default; some sentences may also be CC0 1.0. Verify per sentence before production.,aboard,268409,1769181,https://tatoeba.org/en/sentences/show/268409,https://tatoeba.org/en/sentences/show/1769181,Tatoeba contributor (username pending),Tatoeba contributor (username pending),username_pending_sentences_detailed,Text sentence only; no Tatoeba audio used. Exact username requires Tatoeba Detailed Sentences export.,Tatoeba sentence pair export,CC BY 2.0 FR by default; some sentences may also be CC0 1.0. Verify per sentence before production.,aboard,387986,333528,https://tatoeba.org/en/sentences/show/387986,https://tatoeba.org/en/sentences/show/333528,Tatoeba contributor (username pending),Tatoeba contributor (username pending),username_pending_sentences_detailed,Text sentence only; no Tatoeba audio used. Exact username requires Tatoeba Detailed Sentences export.
gk,高考英语词库,all,全部,7,abolish,ә'bɒliʃ,v. do away with,"vt. 废止, 革除, 消灭\n[经] 废除, 取消, 裁撤",,2,,gk cet6 ky toefl ielts gre,3736,7490,d:abolished/i:abolishing/p:abolished/3:abolishes,,,We should abolish the death penalty.,我们应该废除死刑。,How can we abolish war?,我们怎样才能停止战争？,Tatoeba sentence pair export,CC BY 2.0 FR by default; some sentences may also be CC0 1.0. Verify per sentence before production.,abolish,266987,2077797,https://tatoeba.org/en/sentences/show/266987,https://tatoeba.org/en/sentences/show/2077797,Tatoeba contributor (username pending),Tatoeba contributor (username pending),username_pending_sentences_detailed,Text sentence only; no Tatoeba audio used. Exact username requires Tatoeba Detailed Sentences export.,Tatoeba sentence pair export,CC BY 2.0 FR by default; some sentences may also be CC0 1.0. Verify per sentence before production.,abolish,38603,348394,https://tatoeba.org/en/sentences/show/38603,https://tatoeba.org/en/sentences/show/348394,Tatoeba contributor (username pending),Tatoeba contributor (username pending),username_pending_sentences_detailed,Text sentence only; no Tatoeba audio used. Exact username requires Tatoeba Detailed Sentences export.
gk,高考英语词库,all,全部,8,abortion,ә'bɒ:ʃәn,n. termination of pregnancy,"n. 流产, 堕胎, 失败, 夭折, 中止\n[医] 流产, 小产; 顿挫",,3,,gk ielts,4341,1969,s:abortions,,,Are you for or against abortion?,你支持还是反对堕胎？,,,Tatoeba sentence pair export,CC BY 2.0 FR by default; some sentences may also be CC0 1.0. Verify per sentence before production.,abortion,1464223,332898,https://tatoeba.org/en/sentences/show/1464223,https://tatoeba.org/en/sentences/show/332898,Tatoeba contributor (username pending),Tatoeba contributor (username pending),username_pending_sentences_detailed,Text sentence only; no Tatoeba audio used. Exact username requires Tatoeba Detailed Sentences export.,,,,,,,,,,,
gk,高考英语词库,all,全部,9,about,ә'baut,s. on the move\nr. all around or on all sides\nr. in the area or vicinity\nr. used of movement to or among many different places or in no particular direction,"prep. 在...周围, 大约, 有关, 关于\nadv. 大约, 四处, 在附近, 周围",,5,1,zk gk,63,46,,,,A nuclear war will bring about the destruction of mankind.,核战争将会为人类带来灭亡。,The revolution has brought about many changes.,这场革命已经带来了很多改变。,Tatoeba sentence pair export,CC BY 2.0 FR by default; some sentences may also be CC0 1.0. Verify per sentence before production.,about,21727,1399363,https://tatoeba.org/en/sentences/show/21727,https://tatoeba.org/en/sentences/show/1399363,Tatoeba contributor (username pending),Tatoeba contributor (username pending),username_pending_sentences_detailed,Text sentence only; no Tatoeba audio used. Exact username requires Tatoeba Detailed Sentences export.,Tatoeba sentence pair export,CC BY 2.0 FR by default; some sentences may also be CC0 1.0. Verify per sentence before production.,about,21659,478782,https://tatoeba.org/en/sentences/show/21659,https://tatoeba.org/en/sentences/show/478782,Tatoeba contributor (username pending),Tatoeba contributor (username pending),username_pending_sentences_detailed,Text sentence only; no Tatoeba audio used. Exact username requires Tatoeba Detailed Sentences export.
gk,高考英语词库,all,全部,10,above,ә'bʌv,n. an earlier section of a written text\ns. appearing earlier in the same text\nr. at an earlier place\nr. in or to a place that is higher,"prep. 在上方, 超出\nadv. 在上面\na. 上述的, 上面的",,4,1,zk gk,733,893,,,,Black clouds were passing above the city.,乌云正掠过这座城市。,"Excuse me, let me point out three mistakes in the above article.",不好意思，让我指出先前文章的三个错误。,Tatoeba sentence pair export,CC BY 2.0 FR by default; some sentences may also be CC0 1.0. Verify per sentence before production.,above,405833,8463531,https://tatoeba.org/en/sentences/show/405833,https://tatoeba.org/en/sentences/show/8463531,Tatoeba contributor (username pending),Tatoeba contributor (username pending),username_pending_sentences_detailed,Text sentence only; no Tatoeba audio used. Exact username requires Tatoeba Detailed Sentences export.,Tatoeba sentence pair export,CC BY 2.0 FR by default; some sentences may also be CC0 1.0. Verify per sentence before production.,above,599187,1236352,https://tatoeba.org/en/sentences/show/599187,https://tatoeba.org/en/sentences/show/1236352,Tatoeba contributor (username pending),Tatoeba contributor (username pending),username_pending_sentences_detailed,Text sentence only; no Tatoeba audio used. Exact username requires Tatoeba Detailed Sentences export.
