official_book_code,official_book_name,official_unit_code,official_unit_name,official_sort_order,word,phonetic,definition,translation,pos,collins,oxford,tag,bnc,frq,exchange,detail,audio,example_en_1,example_cn_1,example_en_2,example_cn_2,example_1_source,example_1_license,example_1_matched_form,example_1_tatoeba_en_sentence_id,example_1_tatoeba_cn_sentence_id,example_1_tatoeba_en_url,example_1_tatoeba_cn_url,example_1_tatoeba_en_author,example_1_tatoeba_cn_author,example_1_author_status,example_1_attribution_notes,example_2_source,example_2_license,example_2_matched_form,example_2_tatoeba_en_sentence_id,example_2_tatoeba_cn_sentence_id,example_2_tatoeba_en_url,example_2_tatoeba_cn_url,example_2_tatoeba_en_author,example_2_tatoeba_cn_author,example_2_author_status,example_2_attribution_notes
zk,中考英语词库,all,全部,1,a,ei,n. the 1st letter of the Roman alphabet\nn. the blood group whose red cells carry the A antigen,"第一个字母 A; 一个; 第一的\r\nart. [计] 累加器, 加法器, 地址, 振幅, 模拟, 区域, 面积, 汇编, 组件, 异步",,5,1,zk gk,5,5,,"""""",,,,,,,,,,,,,,,,,,,,,,,,,,,
zk,中考英语词库,all,全部,2,ability,ә'biliti,n. the quality of being able to perform; a quality that permits or facilitates achievement or accomplishment\nn. possession of the qualities (especially mental qualities) required to do something or get something done,"n. 能力, 才干\n[经] 能力, 才能",,4,1,zk gk cet4 ky toefl ielts,946,783,s:abilities,,,She has great ability in teaching English.,她很擅长英语教学。,"From each according to their ability, to each according to their needs.",各尽所能、各取所需。,Tatoeba sentence pair export,CC BY 2.0 FR by default; some sentences may also be CC0 1.0. Verify per sentence before production.,ability,312691,1855104,https://tatoeba.org/en/sentences/show/312691,https://tatoeba.org/en/sentences/show/1855104,Tatoeba contributor (username pending),Tatoeba contributor (username pending),username_pending_sentences_detailed,Text sentence only; no Tatoeba audio used. Exact username requires Tatoeba Detailed Sentences export.,Tatoeba sentence pair export,CC BY 2.0 FR by default; some sentences may also be CC0 1.0. Verify per sentence before production.,ability,8289058,8607153,https://tatoeba.org/en/sentences/show/8289058,https://tatoeba.org/en/sentences/show/8607153,Tatoeba contributor (username pending),Tatoeba contributor (username pending),username_pending_sentences_detailed,Text sentence only; no Tatoeba audio used. Exact username requires Tatoeba Detailed Sentences export.
zk,中考英语词库,all,全部,3,able,'eibl,a. (usually followed by `to') having the necessary means or skill or know-how or authority to do something\ns. have the skills and qualifications to do things well\ns. having inherent physical or mental ability or capacity\ns. having a strong healthy body,"a. 能干的, 能够的",,5,1,zk gk,295,385,,,,You used to be able to see the church from here.,你以前可以从这里看到教堂。,It is an advantage to be able to use a computer.,懂得用电脑是一种优势。,Tatoeba sentence pair export,CC BY 2.0 FR by default; some sentences may also be CC0 1.0. Verify per sentence before production.,able,63677,781684,https://tatoeba.org/en/sentences/show/63677,https://tatoeba.org/en/sentences/show/781684,Tatoeba contributor (username pending),Tatoeba contributor (username pending),username_pending_sentences_detailed,Text sentence only; no Tatoeba audio used. Exact username requires Tatoeba Detailed Sentences export.,Tatoeba sentence pair export,CC BY 2.0 FR by default; some sentences may also be CC0 1.0. Verify per sentence before production.,able,54585,1452251,https://tatoeba.org/en/sentences/show/54585,https://tatoeba.org/en/sentences/show/1452251,Tatoeba contributor (username pending),Tatoeba contributor (username pending),username_pending_sentences_detailed,Text sentence only; no Tatoeba audio used. Exact username requires Tatoeba Detailed Sentences export.
zk,中考英语词库,all,全部,4,about,ә'baut,s. on the move\nr. all around or on all sides\nr. in the area or vicinity\nr. used of movement to or among many different places or in no particular direction,"prep. 在...周围, 大约, 有关, 关于\nadv. 大约, 四处, 在附近, 周围",,5,1,zk gk,63,46,,,,A nuclear war will bring about the destruction of mankind.,核战争将会为人类带来灭亡。,The revolution has brought about many changes.,这场革命已经带来了很多改变。,Tatoeba sentence pair export,CC BY 2.0 FR by default; some sentences may also be CC0 1.0. Verify per sentence before production.,about,21727,1399363,https://tatoeba.org/en/sentences/show/21727,https://tatoeba.org/en/sentences/show/1399363,Tatoeba contributor (username pending),Tatoeba contributor (username pending),username_pending_sentences_detailed,Text sentence only; no Tatoeba audio used. Exact username requires Tatoeba Detailed Sentences export.,Tatoeba sentence pair export,CC BY 2.0 FR by default; some sentences may also be CC0 1.0. Verify per sentence before production.,about,21659,478782,https://tatoeba.org/en/sentences/show/21659,https://tatoeba.org/en/sentences/show/478782,Tatoeba contributor (username pending),Tatoeba contributor (username pending),username_pending_sentences_detailed,Text sentence only; no Tatoeba audio used. Exact username requires Tatoeba Detailed Sentences export.
zk,中考英语词库,all,全部,5,above,ә'bʌv,n. an earlier section of a written text\ns. appearing earlier in the same text\nr. at an earlier place\nr. in or to a place that is higher,"prep. 在上方, 超出\nadv. 在上面\na. 上述的, 上面的",,4,1,zk gk,733,893,,,,Black clouds were passing above the city.,乌云正掠过这座城市。,"Excuse me, let me point out three mistakes in the above article.",不好意思，让我指出先前文章的三个错误。,Tatoeba sentence pair export,CC BY 2.0 FR by default; some sentences may also be CC0 1.0. Verify per sentence before production.,above,405833,8463531,https://tatoeba.org/en/sentences/show/405833,https://tatoeba.org/en/sentences/show/8463531,Tatoeba contributor (username pending),Tatoeba contributor (username pending),username_pending_sentences_detailed,Text sentence only; no Tatoeba audio used. Exact username requires Tatoeba Detailed Sentences export.,Tatoeba sentence pair export,CC BY 2.0 FR by default; some sentences may also be CC0 1.0. Verify per sentence before production.,above,599187,1236352,https://tatoeba.org/en/sentences/show/599187,https://tatoeba.org/en/sentences/show/1236352,Tatoeba contributor (username pending),Tatoeba contributor (username pending),username_pending_sentences_detailed,Text sentence only; no Tatoeba audio used. Exact username requires Tatoeba Detailed Sentences export.
zk,中考英语词库,all,全部,6,abroad,ә'brɒ:d,s. in a foreign country\nr. to or in a foreign country,"adv. 往国外, 到室外, 到处\na. 往国外的, 在室外的, 广泛四散的",,3,1,zk gk toefl,2243,3363,,,,The President is usually accompanied by his wife when he goes abroad.,总统出国通常有妻子陪伴。,I talked with my parents about my studying abroad.,我跟父母讲了留学的事情。,Tatoeba sentence pair export,CC BY 2.0 FR by default; some sentences may also be CC0 1.0. Verify per sentence before production.,abroad,275879,340091,https://tatoeba.org/en/sentences/show/275879,https://tatoeba.org/en/sentences/show/340091,Tatoeba contributor (username pending),Tatoeba contributor (username pending),username_pending_sentences_detailed,Text sentence only; no Tatoeba audio used. Exact username requires Tatoeba Detailed Sentences export.,Tatoeba sentence pair export,CC BY 2.0 FR by default; some sentences may also be CC0 1.0. Verify per sentence before production.,abroad,262222,330587,https://tatoeba.org/en/sentences/show/262222,https://tatoeba.org/en/sentences/show/330587,Tatoeba contributor (username pending),Tatoeba contributor (username pending),username_pending_sentences_detailed,Text sentence only; no Tatoeba audio used. Exact username requires Tatoeba Detailed Sentences export.
zk,中考英语词库,all,全部,7,absent,'æbsәnt,v. go away or leave\na. not being in a specified place\ns. lost in thought; showing preoccupation,"a. 缺席的, 不在的, 缺乏的, 漫不经心的\nvt. 使缺席",,2,1,zk gk cet4 cet6 ky toefl,4300,5516,p:absented/i:absenting/d:absented/3:absents,,,We need you to tell us why you were absent all last week.,我们要你告诉我们你为什么整个上周都缺勤。,She's been absent from school for five days.,她已经五天不上学了。,Tatoeba sentence pair export,CC BY 2.0 FR by default; some sentences may also be CC0 1.0. Verify per sentence before production.,absent,3724399,5911690,https://tatoeba.org/en/sentences/show/3724399,https://tatoeba.org/en/sentences/show/5911690,Tatoeba contributor (username pending),Tatoeba contributor (username pending),username_pending_sentences_detailed,Text sentence only; no Tatoeba audio used. Exact username requires Tatoeba Detailed Sentences export.,Tatoeba sentence pair export,CC BY 2.0 FR by default; some sentences may also be CC0 1.0. Verify per sentence before production.,absent,1396368,1873014,https://tatoeba.org/en/sentences/show/1396368,https://tatoeba.org/en/sentences/show/1873014,Tatoeba contributor (username pending),Tatoeba contributor (username pending),username_pending_sentences_detailed,Text sentence only; no Tatoeba audio used. Exact username requires Tatoeba Detailed Sentences export.
zk,中考英语词库,all,全部,8,accent,'æksәnt,n. distinctive manner of oral expression\nn. a diacritical mark used to indicate stress or placed above a vowel to indicate a special pronunciation,"n. 重音, 口音, 特点, 注重点\nvt. 重读, 加重音号于, 强调",,2,1,zk gk cet4 ky,3701,4140,s:accents/p:accented/i:accenting/d:accented/3:accents,,,"The accent in ""guitar"" falls on the second syllable.",「Guitar」一字的重音在第二音节。,He speaks English with a German accent.,他说英语有德国口音。,Tatoeba sentence pair export,CC BY 2.0 FR by default; some sentences may also be CC0 1.0. Verify per sentence before production.,accent,72219,340160,https://tatoeba.org/en/sentences/show/72219,https://tatoeba.org/en/sentences/show/340160,Tatoeba contributor (username pending),Tatoeba contributor (username pending),username_pending_sentences_detailed,Text sentence only; no Tatoeba audio used. Exact username requires Tatoeba Detailed Sentences export.,Tatoeba sentence pair export,CC BY 2.0 FR by default; some sentences may also be CC0 1.0. Verify per sentence before production.,accent,291928,2257007,https://tatoeba.org/en/sentences/show/291928,https://tatoeba.org/en/sentences/show/2257007,Tatoeba contributor (username pending),Tatoeba contributor (username pending),username_pending_sentences_detailed,Text sentence only; no Tatoeba audio used. Exact username requires Tatoeba Detailed Sentences export.
zk,中考英语词库,all,全部,9,accept,әk'sept,v. consider or hold as true\nv. receive willingly something given or offered\nv. give an affirmative reply to; respond favorably to\nv. react favorably to; consider right and proper,"vt. 接受, 承认, 同意, 相信, 赞成, 承担, 承兑, 采纳, 接纳, 容忍\nvi. 同意",,5,1,zk gk cet4 ky,488,766,d:accepted/p:accepted/i:accepting/3:accepts,,,Many conservative women still can't accept fishnet stockings.,很多保守的女生还是接受不了网袜。,People can accept praise more easily than criticism.,赞扬比批评更容易让人接受。,Tatoeba sentence pair export,CC BY 2.0 FR by default; some sentences may also be CC0 1.0. Verify per sentence before production.,accept,6010320,5964232,https://tatoeba.org/en/sentences/show/6010320,https://tatoeba.org/en/sentences/show/5964232,Tatoeba contributor (username pending),Tatoeba contributor (username pending),username_pending_sentences_detailed,Text sentence only; no Tatoeba audio used. Exact username requires Tatoeba Detailed Sentences export.,Tatoeba sentence pair export,CC BY 2.0 FR by default; some sentences may also be CC0 1.0. Verify per sentence before production.,accept,6010200,2442133,https://tatoeba.org/en/sentences/show/6010200,https://tatoeba.org/en/sentences/show/2442133,Tatoeba contributor (username pending),Tatoeba contributor (username pending),username_pending_sentences_detailed,Text sentence only; no Tatoeba audio used. Exact username requires Tatoeba Detailed Sentences export.
zk,中考英语词库,all,全部,10,accident,'æksidәnt,n. an unfortunate mishap; especially one causing damage or injury\nn. anything that happens suddenly or by chance without an apparent cause,"n. 意外事件, 机遇, 事故, 次要方面\n[化] 意外事故; 事故",,3,1,zk gk cet4 ky toefl,1187,1707,s:accidents,,,The accident seemed to have something to do with the heavy snow.,事故似乎和厚厚的积雪有关。,The accident arose from a simple mistake.,事故由一个简单的错误产生。,Tatoeba sentence pair export,CC BY 2.0 FR by default; some sentences may also be CC0 1.0. Verify per sentence before production.,accident,47099,792796,https://tatoeba.org/en/sentences/show/47099,https://tatoeba.org/en/sentences/show/792796,Tatoeba contributor (username pending),Tatoeba contributor (username pending),username_pending_sentences_detailed,Text sentence only; no Tatoeba audio used. Exact username requires Tatoeba Detailed Sentences export.,Tatoeba sentence pair export,CC BY 2.0 FR by default; some sentences may also be CC0 1.0. Verify per sentence before production.,accident,47097,335361,https://tatoeba.org/en/sentences/show/47097,https://tatoeba.org/en/sentences/show/335361,Tatoeba contributor (username pending),Tatoeba contributor (username pending),username_pending_sentences_detailed,Text sentence only; no Tatoeba audio used. Exact username requires Tatoeba Detailed Sentences export.
zk,中考英语词库,all,全部,11,ache,eik,n. a dull persistent (usually moderately intense) pain\nv. have a desire for something or someone who is not present\nv. be the source of pain,"n. 疼痛\nvi. 痛, 哀怜, 渴望",,2,,zk gk cet4 ky,8267,7717,p:ached/i:aching/d:ached/3:aches,,,My joints ache when it gets cold.,当天气变冷的时候，我的关节疼痛。,"The pain is here, right? That's a stomach ache.",这里疼是吗？那是胃痛。,Tatoeba sentence pair export,CC BY 2.0 FR by default; some sentences may also be CC0 1.0. Verify per sentence before production.,ache,20353,891051,https://tatoeba.org/en/sentences/show/20353,https://tatoeba.org/en/sentences/show/891051,Tatoeba contributor (username pending),Tatoeba contributor (username pending),username_pending_sentences_detailed,Text sentence only; no Tatoeba audio used. Exact username requires Tatoeba Detailed Sentences export.,Tatoeba sentence pair export,CC BY 2.0 FR by default; some sentences may also be CC0 1.0. Verify per sentence before production.,ache,2576170,420942,https://tatoeba.org/en/sentences/show/2576170,https://tatoeba.org/en/sentences/show/420942,Tatoeba contributor (username pending),Tatoeba contributor (username pending),username_pending_sentences_detailed,Text sentence only; no Tatoeba audio used. Exact username requires Tatoeba Detailed Sentences export.
zk,中考英语词库,all,全部,12,achieve,ә'tʃi:v,v. to gain with effort,"vt. 完成, 达到\nvi. 如愿以偿",,4,1,zk gk cet4 cet6 ky toefl ielts,592,1152,d:achieved/i:achieving/p:achieved/3:achieves,,,You'll never achieve anything if you don't study harder.,"如果你不更加努力地学习, 你将永远不会有所成就。","No matter how hard I strive, I fail to achieve my parents' requirements.",不管我怎么努力，也达不到父母的要求。,Tatoeba sentence pair export,CC BY 2.0 FR by default; some sentences may also be CC0 1.0. Verify per sentence before production.,achieve,30467,780376,https://tatoeba.org/en/sentences/show/30467,https://tatoeba.org/en/sentences/show/780376,Tatoeba contributor (username pending),Tatoeba contributor (username pending),username_pending_sentences_detailed,Text sentence only; no Tatoeba audio used. Exact username requires Tatoeba Detailed Sentences export.,Tatoeba sentence pair export,CC BY 2.0 FR by default; some sentences may also be CC0 1.0. Verify per sentence before production.,achieve,717384,717383,https://tatoeba.org/en/sentences/show/717384,https://tatoeba.org/en/sentences/show/717383,Tatoeba contributor (username pending),Tatoeba contributor (username pending),username_pending_sentences_detailed,Text sentence only; no Tatoeba audio used. Exact username requires Tatoeba Detailed Sentences export.
zk,中考英语词库,all,全部,13,across,ә'krɒs,r. to the opposite side\nr. transversely,"prep. 越过, 穿过, 与...相交叉, 在...的对面\nadv. 交叉, 到另一边, 在对面, 成十字",,5,1,zk gk,448,377,,,,I saw him swim across the river.,我看见他游过了河。,I saw the children walk across the street.,我看孩子们过了马路。,Tatoeba sentence pair export,CC BY 2.0 FR by default; some sentences may also be CC0 1.0. Verify per sentence before production.,across,260019,882170,https://tatoeba.org/en/sentences/show/260019,https://tatoeba.org/en/sentences/show/882170,Tatoeba contributor (username pending),Tatoeba contributor (username pending),username_pending_sentences_detailed,Text sentence only; no Tatoeba audio used. Exact username requires Tatoeba Detailed Sentences export.,Tatoeba sentence pair export,CC BY 2.0 FR by default; some sentences may also be CC0 1.0. Verify per sentence before production.,across,257990,673293,https://tatoeba.org/en/sentences/show/257990,https://tatoeba.org/en/sentences/show/673293,Tatoeba contributor (username pending),Tatoeba contributor (username pending),username_pending_sentences_detailed,Text sentence only; no Tatoeba audio used. Exact username requires Tatoeba Detailed Sentences export.
zk,中考英语词库,all,全部,14,act,ækt,n. a legal document codifying the result of deliberations of a committee or society or legislative body\nn. something that people do or cause to happen\nn. a subdivision of a play or opera or ballet\nn. a short theatrical performance that is part of a longer program,"n. 行动, 行为, 幕, 法案\nvi. 行动, 表演, 假装, 见效, 表现, 担当\nvt. 扮演, 装作\n[计] 先进通信技术, 先进计算机工艺, 自动代码翻译技术",,5,1,zk gk cet4 ky,371,837,i:acting/s:acts/p:acted/d:acted/3:acts,,,To forgive others is an act of kindness to yourself.,原谅别人就是善待自己。,My uncle had me act as a translator.,我叔叔让我担任翻译。,Tatoeba sentence pair export,CC BY 2.0 FR by default; some sentences may also be CC0 1.0. Verify per sentence before production.,act,7772316,838285,https://tatoeba.org/en/sentences/show/7772316,https://tatoeba.org/en/sentences/show/838285,Tatoeba contributor (username pending),Tatoeba contributor (username pending),username_pending_sentences_detailed,Text sentence only; no Tatoeba audio used. Exact username requires Tatoeba Detailed Sentences export.,Tatoeba sentence pair export,CC BY 2.0 FR by default; some sentences may also be CC0 1.0. Verify per sentence before production.,act,2150791,801959,https://tatoeba.org/en/sentences/show/2150791,https://tatoeba.org/en/sentences/show/801959,Tatoeba contributor (username pending),Tatoeba contributor (username pending),username_pending_sentences_detailed,Text sentence only; no Tatoeba audio used. Exact username requires Tatoeba Detailed Sentences export.
zk,中考英语词库,all,全部,15,action,'ækʃәn,n. something done (usually as opposed to something said)\nn. the state of being active\nn. the series of events that form a plot\nn. the trait of being active and energetic and forceful,"n. 行动, 活动, 动作, 作用, 战斗, 行为, 诉讼\nvt. 对...起诉\n[计] 方式",,5,1,zk gk cet4 cet6 ky toefl ielts,340,502,s:actions/i:actioning/p:actioned/3:actions,,,I viewed my action as a crime.,我把我的行为看成是犯罪。,I believe that his action was in the right.,我相信他采取的行动是对的。,Tatoeba sentence pair export,CC BY 2.0 FR by default; some sentences may also be CC0 1.0. Verify per sentence before production.,action,258040,2029310,https://tatoeba.org/en/sentences/show/258040,https://tatoeba.org/en/sentences/show/2029310,Tatoeba contributor (username pending),Tatoeba contributor (username pending),username_pending_sentences_detailed,Text sentence only; no Tatoeba audio used. Exact username requires Tatoeba Detailed Sentences export.,Tatoeba sentence pair export,CC BY 2.0 FR by default; some sentences may also be CC0 1.0. Verify per sentence before production.,action,260625,5949251,https://tatoeba.org/en/sentences/show/260625,https://tatoeba.org/en/sentences/show/5949251,Tatoeba contributor (username pending),Tatoeba contributor (username pending),username_pending_sentences_detailed,Text sentence only; no Tatoeba audio used. Exact username requires Tatoeba Detailed Sentences export.
