official_book_code,official_book_name,official_unit_code,official_unit_name,official_sort_order,word,phonetic,definition,translation,pos,collins,oxford,tag,bnc,frq,exchange,detail,audio,example_en_1,example_cn_1,example_en_2,example_cn_2,example_1_source,example_1_license,example_1_matched_form,example_1_tatoeba_en_sentence_id,example_1_tatoeba_cn_sentence_id,example_1_tatoeba_en_url,example_1_tatoeba_cn_url,example_1_tatoeba_en_author,example_1_tatoeba_cn_author,example_1_author_status,example_1_attribution_notes,example_2_source,example_2_license,example_2_matched_form,example_2_tatoeba_en_sentence_id,example_2_tatoeba_cn_sentence_id,example_2_tatoeba_en_url,example_2_tatoeba_cn_url,example_2_tatoeba_en_author,example_2_tatoeba_cn_author,example_2_author_status,example_2_attribution_notes
ielts,雅思词库,all,全部,1,abbreviation,ә.bri:vi'eiʃәn,n. a shortened form of a word or phrase\nn. shortening something by omitting parts of it,"n. 缩写词, 缩写, 缩短, 节略",,,,cet6 toefl ielts,15465,20008,s:abbreviations,,,UK is the abbreviation for the United Kingdom.,UK是英国的缩写。,,,Tatoeba sentence pair export,CC BY 2.0 FR by default; some sentences may also be CC0 1.0. Verify per sentence before production.,abbreviation,1067763,2615108,https://tatoeba.org/en/sentences/show/1067763,https://tatoeba.org/en/sentences/show/2615108,Tatoeba contributor (username pending),Tatoeba contributor (username pending),username_pending_sentences_detailed,Text sentence only; no Tatoeba audio used. Exact username requires Tatoeba Detailed Sentences export.,,,,,,,,,,,
ielts,雅思词库,all,全部,2,ability,ә'biliti,n. the quality of being able to perform; a quality that permits or facilitates achievement or accomplishment\nn. possession of the qualities (especially mental qualities) required to do something or get something done,"n. 能力, 才干\n[经] 能力, 才能",,4,1,zk gk cet4 ky toefl ielts,946,783,s:abilities,,,She has great ability in teaching English.,她很擅长英语教学。,"From each according to their ability, to each according to their needs.",各尽所能、各取所需。,Tatoeba sentence pair export,CC BY 2.0 FR by default; some sentences may also be CC0 1.0. Verify per sentence before production.,ability,312691,1855104,https://tatoeba.org/en/sentences/show/312691,https://tatoeba.org/en/sentences/show/1855104,Tatoeba contributor (username pending),Tatoeba contributor (username pending),username_pending_sentences_detailed,Text sentence only; no Tatoeba audio used. Exact username requires Tatoeba Detailed Sentences export.,Tatoeba sentence pair export,CC BY 2.0 FR by default; some sentences may also be CC0 1.0. Verify per sentence before production.,ability,8289058,8607153,https://tatoeba.org/en/sentences/show/8289058,https://tatoeba.org/en/sentences/show/8607153,Tatoeba contributor (username pending),Tatoeba contributor (username pending),username_pending_sentences_detailed,Text sentence only; no Tatoeba audio used. Exact username requires Tatoeba Detailed Sentences export.
ielts,雅思词库,all,全部,3,abnormal,æb'nɒ:mәl,a. not normal; not typical or usual or regular or conforming to a norm\na. departing from the normal in e.g. intelligence and development\ns. much greater than the normal,"a. 反常的, 不规则的, 变态的, 畸形的\nn. 畸形的人",,1,,gk cet4 cet6 ky toefl ielts,6548,8241,s:abnormals,,,Environmental pollution is causing abnormal weather conditions.,环境污染正造成异常的天气情况。,His view on marriage is abnormal.,他的婚姻观很畸形。,Tatoeba sentence pair export,CC BY 2.0 FR by default; some sentences may also be CC0 1.0. Verify per sentence before production.,abnormal,21016,797018,https://tatoeba.org/en/sentences/show/21016,https://tatoeba.org/en/sentences/show/797018,Tatoeba contributor (username pending),Tatoeba contributor (username pending),username_pending_sentences_detailed,Text sentence only; no Tatoeba audio used. Exact username requires Tatoeba Detailed Sentences export.,Tatoeba sentence pair export,CC BY 2.0 FR by default; some sentences may also be CC0 1.0. Verify per sentence before production.,abnormal,7785145,6452361,https://tatoeba.org/en/sentences/show/7785145,https://tatoeba.org/en/sentences/show/6452361,Tatoeba contributor (username pending),Tatoeba contributor (username pending),username_pending_sentences_detailed,Text sentence only; no Tatoeba audio used. Exact username requires Tatoeba Detailed Sentences export.
ielts,雅思词库,all,全部,4,abolish,ә'bɒliʃ,v. do away with,"vt. 废止, 革除, 消灭\n[经] 废除, 取消, 裁撤",,2,,gk cet6 ky toefl ielts gre,3736,7490,d:abolished/i:abolishing/p:abolished/3:abolishes,,,We should abolish the death penalty.,我们应该废除死刑。,How can we abolish war?,我们怎样才能停止战争？,Tatoeba sentence pair export,CC BY 2.0 FR by default; some sentences may also be CC0 1.0. Verify per sentence before production.,abolish,266987,2077797,https://tatoeba.org/en/sentences/show/266987,https://tatoeba.org/en/sentences/show/2077797,Tatoeba contributor (username pending),Tatoeba contributor (username pending),username_pending_sentences_detailed,Text sentence only; no Tatoeba audio used. Exact username requires Tatoeba Detailed Sentences export.,Tatoeba sentence pair export,CC BY 2.0 FR by default; some sentences may also be CC0 1.0. Verify per sentence before production.,abolish,38603,348394,https://tatoeba.org/en/sentences/show/38603,https://tatoeba.org/en/sentences/show/348394,Tatoeba contributor (username pending),Tatoeba contributor (username pending),username_pending_sentences_detailed,Text sentence only; no Tatoeba audio used. Exact username requires Tatoeba Detailed Sentences export.
ielts,雅思词库,all,全部,5,aboriginal,.æbә'ridʒәnәl,a. of or pertaining to members of the indigenous people of Australia\ns. having existed from the beginning; in an earliest or original stage or state,"a. 原始的, 土著的\nn. 土著居民, 土生生物",,1,,ielts gre,16658,10042,s:aboriginals,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ielts,雅思词库,all,全部,6,abort,ә'bɒ:t,"n. the act of terminating a project or procedure before it is completed\nv. terminate before completion\nv. cease development, die, and be aborted\nv. terminate a pregnancy by undergoing an abortion","vi. 流产, 中途失败\nvt. 使流产, 使失败, 使中止",,1,,toefl ielts,13979,12402,d:aborted/p:aborted/i:aborting/3:aborts,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ielts,雅思词库,all,全部,7,abortion,ә'bɒ:ʃәn,n. termination of pregnancy,"n. 流产, 堕胎, 失败, 夭折, 中止\n[医] 流产, 小产; 顿挫",,3,,gk ielts,4341,1969,s:abortions,,,Are you for or against abortion?,你支持还是反对堕胎？,,,Tatoeba sentence pair export,CC BY 2.0 FR by default; some sentences may also be CC0 1.0. Verify per sentence before production.,abortion,1464223,332898,https://tatoeba.org/en/sentences/show/1464223,https://tatoeba.org/en/sentences/show/332898,Tatoeba contributor (username pending),Tatoeba contributor (username pending),username_pending_sentences_detailed,Text sentence only; no Tatoeba audio used. Exact username requires Tatoeba Detailed Sentences export.,,,,,,,,,,,
ielts,雅思词库,all,全部,8,abound,ә'baund,v. be abundant or plentiful; exist in large quantities\nv. be in a state of movement or action,"vi. 大量存在, 富于, 充满",,1,,ky toefl ielts gre,8645,7676,3:abounds/p:abounded/i:abounding/d:abounded,,,Fish abound in this lake.,这湖里有许多鱼。,,,Tatoeba sentence pair export,CC BY 2.0 FR by default; some sentences may also be CC0 1.0. Verify per sentence before production.,abound,59360,2029376,https://tatoeba.org/en/sentences/show/59360,https://tatoeba.org/en/sentences/show/2029376,Tatoeba contributor (username pending),Tatoeba contributor (username pending),username_pending_sentences_detailed,Text sentence only; no Tatoeba audio used. Exact username requires Tatoeba Detailed Sentences export.,,,,,,,,,,,
ielts,雅思词库,all,全部,9,abrasion,ә'breiʒәn,n. an abraded area where the skin is torn or worn off\nn. erosion by friction,"n. 磨擦, 磨损, 磨损处\n[化] 磨耗; 磨蚀",,,,toefl ielts gre,21005,18254,s:abrasions,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ielts,雅思词库,all,全部,10,abridge,ә'bridʒ,"v. reduce in scope while retaining essential elements\nv. lessen, diminish, or curtail","vt. 缩短, 删节, 减少, 剥夺\n[法] 剥夺; 节略",,,,toefl ielts gre,36604,26746,d:abridged/i:abridging/p:abridged/3:abridges,,,,,,,,,,,,,,,,,,,,,,,,,,,,
