official_book_code,official_book_name,official_unit_code,official_unit_name,official_sort_order,word,phonetic,definition,translation,pos,collins,oxford,tag,bnc,frq,exchange,detail,audio,example_en_1,example_cn_1,example_en_2,example_cn_2,example_1_source,example_1_license,example_1_matched_form,example_1_tatoeba_en_sentence_id,example_1_tatoeba_cn_sentence_id,example_1_tatoeba_en_url,example_1_tatoeba_cn_url,example_1_tatoeba_en_author,example_1_tatoeba_cn_author,example_1_author_status,example_1_attribution_notes,example_2_source,example_2_license,example_2_matched_form,example_2_tatoeba_en_sentence_id,example_2_tatoeba_cn_sentence_id,example_2_tatoeba_en_url,example_2_tatoeba_cn_url,example_2_tatoeba_en_author,example_2_tatoeba_cn_author,example_2_author_status,example_2_attribution_notes
toefl,托福词库,all,全部,1,abandon,ә'bændәn,"n. the trait of lacking restraint or control; reckless freedom from inhibition or worry\nv. forsake, leave behind\nv. give up with the intent of never claiming again\nv. stop maintaining or insisting on; of ideas or claims","vt. 放弃, 抛弃, 遗弃, 使屈从, 沉溺, 放纵\nn. 放任, 无拘束, 狂热",,3,1,gk cet4 cet6 ky toefl gre,2057,2182,d:abandoned/p:abandoned/i:abandoning/3:abandons,,,We have to abandon the plan.,我们必须放弃这个计划。,I will not abandon you.,我不会丢下你。,Tatoeba sentence pair export,CC BY 2.0 FR by default; some sentences may also be CC0 1.0. Verify per sentence before production.,abandon,610834,339438,https://tatoeba.org/en/sentences/show/610834,https://tatoeba.org/en/sentences/show/339438,Tatoeba contributor (username pending),Tatoeba contributor (username pending),username_pending_sentences_detailed,Text sentence only; no Tatoeba audio used. Exact username requires Tatoeba Detailed Sentences export.,Tatoeba sentence pair export,CC BY 2.0 FR by default; some sentences may also be CC0 1.0. Verify per sentence before production.,abandon,5573296,5550018,https://tatoeba.org/en/sentences/show/5573296,https://tatoeba.org/en/sentences/show/5550018,Tatoeba contributor (username pending),Tatoeba contributor (username pending),username_pending_sentences_detailed,Text sentence only; no Tatoeba audio used. Exact username requires Tatoeba Detailed Sentences export.
toefl,托福词库,all,全部,2,abandoned,ә'bændәnd,s. forsaken by owner or inhabitants\ns. free from constraint,"a. 被抛弃的, 无约束的, 恣意放荡的",,3,1,toefl,9617,6184,0:abandon/1:dp/p:abandoned/d:abandoned,,,"Next to China, Switzerland is an abandoned village.",在中国的旁边，瑞士像一个荒废的乡村似的。,Kenji abandoned his hope of becoming a doctor.,健二放弃了成为医生的希望。,Tatoeba sentence pair export,CC BY 2.0 FR by default; some sentences may also be CC0 1.0. Verify per sentence before production.,abandoned,464151,464153,https://tatoeba.org/en/sentences/show/464151,https://tatoeba.org/en/sentences/show/464153,Tatoeba contributor (username pending),Tatoeba contributor (username pending),username_pending_sentences_detailed,Text sentence only; no Tatoeba audio used. Exact username requires Tatoeba Detailed Sentences export.,Tatoeba sentence pair export,CC BY 2.0 FR by default; some sentences may also be CC0 1.0. Verify per sentence before production.,abandoned,239034,405054,https://tatoeba.org/en/sentences/show/239034,https://tatoeba.org/en/sentences/show/405054,Tatoeba contributor (username pending),Tatoeba contributor (username pending),username_pending_sentences_detailed,Text sentence only; no Tatoeba audio used. Exact username requires Tatoeba Detailed Sentences export.
toefl,托福词库,all,全部,3,abandonment,ә'bændәmәnt,n. the act of giving something up\nn. the voluntary surrender of property (or a right to property) without attempting to reclaim it or give it away,"n. 放弃, 抛弃, 放纵\n[经] 委付, 废弃, 放弃(采矿权)",,,,toefl,8591,9919,s:abandonments,,,,,,,,,,,,,,,,,,,,,,,,,,,,
toefl,托福词库,all,全部,4,abashed,ә'bæʃd,s. feeling or caused to feel uneasy and self-conscious,"a. 不安的, 窘迫的",,,,toefl,34390,28626,d:abashed/0:abashed/1:d,,,,,,,,,,,,,,,,,,,,,,,,,,,,
toefl,托福词库,all,全部,5,abate,ә'beit,v. become less in amount or intensity,"vt. 减少, 减轻, 减弱, 废除, 打折扣\nvi. 减轻, 减弱, 减少, 失效, 被废除",,1,,toefl gre,13783,13243,d:abated/i:abating/p:abated/3:abates,,,The storm didn't abate for several hours.,风暴几个小时没有减弱了。,,,Tatoeba sentence pair export,CC BY 2.0 FR by default; some sentences may also be CC0 1.0. Verify per sentence before production.,abate,325306,2080582,https://tatoeba.org/en/sentences/show/325306,https://tatoeba.org/en/sentences/show/2080582,Tatoeba contributor (username pending),Tatoeba contributor (username pending),username_pending_sentences_detailed,Text sentence only; no Tatoeba audio used. Exact username requires Tatoeba Detailed Sentences export.,,,,,,,,,,,
toefl,托福词库,all,全部,6,abbreviate,ә'bri:vieit,v. shorten,"vt. 缩写, 使...简略, 缩短\nvi. 使用缩写词",,,,toefl gre,20690,22759,d:abbreviated/i:abbreviating/p:abbreviated/3:abbreviates,,,,,,,,,,,,,,,,,,,,,,,,,,,,
toefl,托福词库,all,全部,7,abbreviation,ә.bri:vi'eiʃәn,n. a shortened form of a word or phrase\nn. shortening something by omitting parts of it,"n. 缩写词, 缩写, 缩短, 节略",,,,cet6 toefl ielts,15465,20008,s:abbreviations,,,UK is the abbreviation for the United Kingdom.,UK是英国的缩写。,,,Tatoeba sentence pair export,CC BY 2.0 FR by default; some sentences may also be CC0 1.0. Verify per sentence before production.,abbreviation,1067763,2615108,https://tatoeba.org/en/sentences/show/1067763,https://tatoeba.org/en/sentences/show/2615108,Tatoeba contributor (username pending),Tatoeba contributor (username pending),username_pending_sentences_detailed,Text sentence only; no Tatoeba audio used. Exact username requires Tatoeba Detailed Sentences export.,,,,,,,,,,,
toefl,托福词库,all,全部,8,abdicate,'æbdikeit,"v. give up, such as power, as of monarchs and emperors, or duties and obligations","vt. 正式放弃\nvi. 退位, 退出, 辞职",,,,toefl gre,18884,19114,p:abdicated/d:abdicated/i:abdicating/3:abdicates/s:abdicates,,,,,,,,,,,,,,,,,,,,,,,,,,,,
toefl,托福词库,all,全部,9,abduct,æb'dʌkt,v. pull away from the body,"vt. 诱拐, 绑架, 使外展\n[医] 外展, 展",,1,,toefl gre,15203,11439,d:abducted/p:abducted/i:abducting/3:abducts,,,,,,,,,,,,,,,,,,,,,,,,,,,,
toefl,托福词库,all,全部,10,abhor,әb'hɒ:,v. find repugnant,"vt. 憎恶, 痛恨, 回避, 拒绝",,,,toefl gre,18438,16665,p:abhorred/3:abhors/d:abhorred/i:abhorring,,,,,,,,,,,,,,,,,,,,,,,,,,,,
